resMealType_en,resMealType,resDistinction_en,resDistinction,resOpinion_en,resOpinion
Korean,한식,Three MICHELIN Stars,미쉐린 3스타,Rooted in the time-tested wisdom of traditional Korean cuisine Gaon’s menu presents dishes made with authentic ingredients. The chef Kim Byoung-jins unique interpretation and confidence in his own culinary research is intuitively embedded in the establishment’s distinctive cuisine. The quiet restful and elegant dining space as well as refined service make for ideal companions to Gaon’s culinary offerings. Private dining rooms dedicated to social and business gatherings coupled with a newly expanded dining hall provide patrons with an array of cozy dining nooks.,가온은 오래전부터 이어져온 전통 한식의 지혜를 한국의 자연에서 얻은 식재료에 담아 요리로 만들어낸다. 이 과정을 주도하는 셰프는 음식에 대한 남다른 해석과 음식 연구에 대한 확신을 통해 가온에서만 경험할 수 있는 한식의 맛을 고객에게 전달한다. 가온을 이끄는 김병진 셰프와 한식 문화에 대한 자부심을 다양한 활동으로 표현해온 광주요의 하모니는 이러한 방식으로 현대적인 한식의 특징을 보여주고 있다. 정적이고 차분한 분위기가 어우러진 우아한 다이닝 공간과 서비스도 가온의 음식과 좋은 궁합을 자랑한다. 넓게 확장된 다이닝홀에는 각종 모임이나 비즈니스에 적합한 별실이 마련되어 있어 손님들에게 편안한 식사 환경을 제공한다.
Korean,한식,Three MICHELIN Stars,미쉐린 3스타,Time-honored traditions of Korean cuisine are given a contemporary touch at La Yeon. Located on the 23rd floor of The Shilla Hotel this refined dining space offers stunning vistas over Namsan Park. Its the detail here that are noteworthy from the fine tableware to the attentive service. Hansik and wine pairings elevate the dining experience to another level.,품격 있는 한식 정찬을 선보이는 라연은 전통 한식을 현대적인 조리법으로 세련되게 표현해낸다. 전망 좋은 신라호텔 23층에 자리해 시원한 남산 경관을 감상할 수 있는 이곳은 한국의 전통 문양을 활용한 기품 있는 인테리어가 인상적이다. 우아하고 편안한 식사 경험을 제공하기 위해 구비한 고급 식기와 백자를 형상화한 그릇은 레스토랑이 지향하는 또 다른 차원의 섬세함을 잘 드러낸다. 현대적으로 재해석한 메뉴에 와인을 조합해 즐길 수 있으며 요구하지 않아도 세심한 배려가 돋보이는 서비스는 이곳의 또 다른 매력이다.
Korean,한식,Two MICHELIN Stars,미쉐린 2스타,Chef Kwon Woo-joong’s homage to tradition is evident in every facet of Kwonsooksoo even in the name itself (sooksoo is an archaic term for professional cook). Inspired by time-honored methods of cooking Kwon digs deep into his own roots. He tirelessly scours the country for rare finds that best represent each of the seasons and transforms even the most mundane ingredients into something special. What the diners get to experience is passion on a plate coupled with a good dose of ingenuity.,전문 조리사를 뜻하는 숙수에서 착안해 이름 지은 권숙수는 권우중 셰프의 한식 레스토랑이다. 이곳에선 한식의 기본 맛을 좌우하는 장 젓갈 식초 등을 직접 담가 사용하는데 이러한 정성이 권숙수만의 기품 있는 요리를 완성한다. 제철 식재료 중에서도 좀 더 진귀한 재료를 선별하고 흔한 식재료일지라도 창의적인 조합을 통해 새로운 요리로 탄생시키는 권 셰프의 노력과 열정을 곳곳에서 발견할 수 있다. 좋은 음식을 위해서라면 일절 타협하지 않는 숙수의 고집이 고스란히 녹아 있는 이곳에서 한식의 깊은 맛을 느껴보길.
Innovative,이노베이티브,Two MICHELIN Stars,미쉐린 2스타,When Chef Sung Anh moved his Mosu San Francisco to Seoul he wanted to bring a different kind of diversity to the table. Different as the food may be Anh continues to do what he does best highlighting the subtle nuances of seasonal produce on a plate. Burdock bark the signature dish features a single burdock chip prepared by coating a thinly shaved sheet of burdock root with syrup dehydrating it and repeating the process several times to render it supremely crisp. Enhance your dining experience with the wine pairings.,다양한 문화가 공존하는 샌프란시스코에서 보여주었던 음식과 차별화된 다양성을 선보이는 한남동 모수. 안성재 셰프는 재료의 섬세한 뉘앙스를 감각적으로 표현해내는 장기를 지니고 있다. 1스타 모수 샌프란시스코에서 선보였던 우엉 메뉴는 어머니가 만들어주시던 반찬에서 영감을 얻은 요리로 얇게 깎은 우엉에 시럽을 발라 말리는 과정을 수차례 반복해 바삭한 식감을 자랑한다. 섬세하고 단아한 이곳의 요리와 잘 어울리는 와인 페어링 또한 근사한 다이닝 경험을 선사할 것이다.
Contemporary,컨템퍼러리,Two MICHELIN Stars,미쉐린 2스타,Chef Kang Min-goos keen eye for detail shines in Mingles from the ceramic ware that highlights the beauty of Korean cuisine to the warm luxury of empty space apparent in the interior design. From the beginning Kang has marched to the beat of his own drum breaking down barriers by marrying the old with the new but always with a deep respect for tradition. His journey and evolution continues with dishes like Abalone and Cabbage Seon and Fish Mandu showcasing the creativity of the chef and his talented team.,따뜻한 여백의 미가 돋보이는 밍글스. 실내 디자인 한국 음식의 정갈한 멋을 한층 더 살려 주는 도예 기물 여기에 주방을 이끄는 강민구 셰프의 젊고 감각적인 재능까지 다양한 전문가들의 감각과 감성이 하나의 공간에 모여 있다. 초창기부터 뚜렷한 한국적 색채를 기반으로 전통과 현대의 경계를 자유롭게 넘나들며 밍글스만의 맛과 멋을 창조해온 강민구 셰프는 새로운 공간에서 한 걸음 더 진화된 요리를 선보인다. 밍글스만의 독특한 매력은 전복 배추선과 어만두처럼 경계를 허무는 요리에서 정점을 이룬다. 김민성 매니저가 이끄는 서비스 팀의 배려 깊은 고객 응대 역시 레스토랑의 가치를 한층 더 높여 준다.
Innovative,이노베이티브,Two MICHELIN Stars,미쉐린 2스타,Chef Kim Jin-hyuk continues to attract discerning gourmets with his whimsically creative and modern offerings. His reverence for seasonal ingredients his attention to balance and his delicate yet assertive sauces come together like a symphony that pairs well with both wine and sake. The L-shaped counter with ample seating the gleaming open kitchen the spacious dining hall and the private dining room each do their part to make the diners feel comfortable. Be sure to reserve ahead.,늘 과감하고 창의적인 요리로 미식가들의 발길을 유혹하는 알라 프리마. 오픈된 주방이 한눈에 들어오는 넓은 카운터 테이블과 쾌적한 다이닝 홀 그리고 프라이빗 다이닝 공간이 모던하게 펼쳐진다. 재료를 생명으로 여기는 김진혁 셰프의 요리는 깔끔한 소스 맛의 밸런스 그리고 계절 식재료들의 향연이라 할 수 있다. 와인뿐만 아니라 사케와도 잘 어울리는 이 곳의 모던 퀴진을 경험하려면 예약은 필수다.
Contemporary,컨템퍼러리,Two MICHELIN Stars,미쉐린 2스타,Chef Hyunmin Suh knows about French cuisine. But after spending many years in New Yorks finest French kitchens he wanted to discover his own style. He began that journey of self-discovery in his native Korea. The food at LImpression is the outcome of a tireless exploration of his own roots evident in his use of aged and fermented condiments. Inspired by tradition he may be but the chef is also unafraid of crossing boundaries. Complete with a beautiful view overlooking a lush urban park the cozy interior is inspired by Eastern design sensibilities. Service is attentive from start to finish.,뉴욕에서 오랜 시간 프렌치 요리의 진수를 연마해온 서현민 셰프. 그는 자신만의 요리를 만들고 싶었고 그 답을 찾기 위한 여정을 모국인 한국에서 시작했다. 임프레션의 요리에는 발효와 숙성에 대한 셰프의 끊임없는 고민과 연구 그리고 경험이 고스란히 담겨 있다. 계절의 변화를 느낄 수 있는 도심 속 공원의 아름다운 풍경은 동양적 감각이 깃든 모던한 다이닝 공간과 어우러지면서 아늑한 느낌을 자아낸다. 식사의 시작부터 끝까지 이어지는 섬세한 서비스와 감각적인 요리가 수준 높은 다이닝 경험을 제공한다. 본질을 지키면서 다양한 경계를 넘나드는 요리를 통해 임프레션의 색채를 느껴 보자.
Contemporary,컨템퍼러리,Two MICHELIN Stars,미쉐린 2스타,Touted as a pioneer of modern Korean fine dining Chef Yim Jung-sik — with his Seoul and New York restaurants - is credited for introducing Korean cuisine to the world with an innovative flair that is entirely his own. What Yim does best is drawing inspiration from the familiar — gimbap bibimbap platter of nine delicacies and napa wraps with pork — and creating something unexpected yet surprisingly evocative and authentic. Whimsical desserts a good wine list and attentive service — Jungsik has it all.,모던 한식 파인 다이닝을 개척한 장본인이라 평가받는 임정식 셰프는 자신의 이름을 내건 정식당 서울과 정식당 뉴욕을 통해 새롭고 창의적인 한식을 세계에 알리고 있다. 김밥 비빔밥 구절판 보쌈 등 대중들이 친근하게 여기는 다양한 한식 요리에서 영감을 얻어 재해석한 독창적인 메뉴는 한국인에게 익숙한 맛을 기발하게 풀어내는 방식으로 한식의 맛과 멋을 동시에 만족시킨다. 독특한 디저트와 훌륭한 구성의 와인 리스트 그리고 배려심 깊은 서비스 등 즐거운 식사를 위한 요소들이 두루 갖춰진 곳이다.
Sushi,스시,Two MICHELIN Stars,미쉐린 2스타,The serene and reposeful space in Kojima allows patrons to concentrate solely on their sushi. A perfect match between shari (rice) and neta (fish topping) replete with the integral taste of the ingredients the diner’s plump sushi somehow resembles its creator Chef Park Kyung-jae. Prepared from ingredients that change daily the sushi has an unadorned and fine taste that is seemingly plain yet flavorful and brims with umami. Be sure to make a reservation if you wish to relish the art of Kojima’s elegant items.,조용하고 차분한 공간에서 오롯이 스시에만 집중할 수 있는 코지마. 재료 본연의 맛을 최대한 살리면서 샤리(밥)를 네타(생선)의 크기에 맞춰 소담하게 쥐어 주는 스시는 박경재 셰프 본인의 모습과도 어딘가 닮아 있다. 꾸미지 않은 맛 단순해 보이지만 여러 가지 맛이 담겨 있는 박 셰프의 스시는 매일 바뀌는 재료 본연의 맛을 최대한 끌어올려 풍부한 감칠맛을 보여 준다. 기품 있는 코지마의 스시를 맛보고 싶다면 예약은 필수다.
Contemporary,컨템퍼러리,One MICHELIN Star,미쉐린 1스타,Located on the 26th floor of LEscape Hotel LAmant Secret (French for secret lover) is an intimate space inspired by Parisian sensibilities. Chef Son Jong-won who honed his culinary chops in the United States strives for a style which he refers to as Korean-style Western cuisine. His modern interpretations are based on local ingredients blended with Western cooking techniques resulting in creations that are both original and familiar respectful of the symbiosis between the producer and the ingredients as well as the kitchen and the diner.,비밀스러운 연인을 뜻하는 라망 시크레. 레스케이프 호텔 26층에 자리 잡고 있는 이곳은 그 이름처럼 비밀스러운 분위기의 공간에 세련된 인테리어로 손님들을 맞는다. 미국에서 오랜 경력을 쌓고 돌아온 손종원 셰프는 한국 스타일의 양식을 현대적으로 풀어 낸다. 한국의 다양한 식재료를 서양 요리의 테크닉과 접목시켜 만들어 내는 음식은 신선하면서도 사뭇 익숙하게 다가온다. 라망 시크레에서는 좋은 재료와 그 재료를 공급하는 생산자의 마음이 주방을 거쳐 손님에게 전달되는 소통 과정을 중시하는 셰프의 마음을 느낄 수 있다.
